architecture,model_name,layer_or_block,subset,metric,count,mean,std,median,ci95_low,ci95_high
vit,vit_supervised,block_03,all,pearson,500,0.27465359289571645,0.28025549866065347,0.29405704140663147,0.25148490197816864,0.29996110584326086
vit,vit_supervised,block_03,all,spearman,500,0.18140194309875368,0.25131502632272457,0.18972378224134445,0.15984775988562033,0.2015885791626759
vit,vit_supervised,block_03,all,iou_top20,500,0.25287582057761027,0.15041097423597605,0.23269668221473694,0.23844394165578997,0.2661718247758458
vit,vit_supervised,block_03,all,iou_otsu,500,0.29350051238492597,0.14153116082712847,0.2847447097301483,0.28118616637331434,0.30563857423398877
vit,vit_supervised,block_03,all,z_spearman,500,1.118329066928476,1.5427009646498935,1.1694128513336182,0.9891405638908036,1.247434187211655
vit,vit_supervised,block_03,all,z_iou_top20,500,2.10036841231212,2.340090413245996,1.7864218354225159,1.9169642412674615,2.3014618913898244
vit,vit_supervised,block_03,all,n_sas,500,1.6093487368673087,1.7785867067433754,1.5660572052001953,1.4504997112084181,1.766377794747427
vit,vit_supervised,block_03,correct_only,pearson,450,0.2751845443952415,0.28245625605520774,0.2957400232553482,0.24999753083474935,0.29993940227106214
vit,vit_supervised,block_03,correct_only,spearman,450,0.18174683218614923,0.2527048785810804,0.18583661317825317,0.157793734561445,0.2049422051143936
vit,vit_supervised,block_03,correct_only,iou_top20,450,0.25266177016465613,0.1524162933599006,0.23129824548959732,0.23785643975454798,0.2665740570406714
vit,vit_supervised,block_03,correct_only,iou_otsu,450,0.29199314067049675,0.1433956366592638,0.2858567088842392,0.2782932845345802,0.3057296851628246
vit,vit_supervised,block_03,correct_only,z_spearman,450,1.120446172484921,1.5512325919909524,1.1455514430999756,0.966621756647403,1.2625647384269783
vit,vit_supervised,block_03,correct_only,z_iou_top20,450,2.0970382247741024,2.3712891249199592,1.7646650075912476,1.8951842824293093,2.310928011945966
vit,vit_supervised,block_03,correct_only,n_sas,450,1.608742196675804,1.797269908049038,1.575490951538086,1.4534947175280089,1.7663016596560677
vit,vit_supervised,block_06,all,pearson,500,-0.030139588179998098,0.131570645230719,-0.042970484122633934,-0.040966422257851805,-0.01928687921650708
vit,vit_supervised,block_06,all,spearman,500,-0.23253478061035276,0.24918059807120405,-0.24789676070213318,-0.25379884228501465,-0.21017373751262203
vit,vit_supervised,block_06,all,iou_top20,500,0.09131115593877621,0.08886388195108777,0.0737709328532219,0.08397907241743377,0.099465668324953
vit,vit_supervised,block_06,all,iou_otsu,500,0.03183343274461367,0.06768747880639531,0.015392044559121132,0.026235723311483345,0.038888442488674624
vit,vit_supervised,block_06,all,z_spearman,500,-1.0637111427141352,1.421510583920238,-1.1513472199440002,-1.1834899518158055,-0.940360526898154
vit,vit_supervised,block_06,all,z_iou_top20,500,-0.15657902442024352,1.656091645361638,-0.48346342146396637,-0.3026106895879884,-0.009506199240368919
vit,vit_supervised,block_06,all,n_sas,500,-0.610145081795752,1.4555328087030084,-0.7962822616100311,-0.7435813302440569,-0.47298478714618836
vit,vit_supervised,block_06,correct_only,pearson,450,-0.0303103166539222,0.13357150106951768,-0.04607703909277916,-0.04223677764970085,-0.019051465030811315
vit,vit_supervised,block_06,correct_only,spearman,450,-0.23822630572650166,0.2506011857751569,-0.2492055594921112,-0.2608973609937562,-0.21597257589207342
vit,vit_supervised,block_06,correct_only,iou_top20,450,0.09071203490919692,0.09008574939344258,0.07250873371958733,0.08331263839029027,0.09957072608142657
vit,vit_supervised,block_06,correct_only,iou_otsu,450,0.030749346336273853,0.06576890505620385,0.014973536133766174,0.025448524069414714,0.0370658151797757
vit,vit_supervised,block_06,correct_only,z_spearman,450,-1.0961798152772502,1.4296146674037882,-1.1588135957717896,-1.2472386209780557,-0.9615189439545696
vit,vit_supervised,block_06,correct_only,z_iou_top20,450,-0.16774440916993222,1.6788627000294483,-0.5069861114025116,-0.3180132114141577,0.0016968051952327213
vit,vit_supervised,block_06,correct_only,n_sas,450,-0.6319621098786592,1.4732300699374994,-0.8192451596260071,-0.7718655424900354,-0.4839584780432698
vit,vit_supervised,block_09,all,pearson,500,0.3025811922363937,0.16874535388803177,0.3186051696538925,0.2879488419431262,0.3162435882795602
vit,vit_supervised,block_09,all,spearman,500,0.01729838740080595,0.21791326287665205,0.012897273525595665,-0.001959443686157464,0.03616139163486659
vit,vit_supervised,block_09,all,iou_top20,500,0.16512082039605594,0.08252130005174363,0.15283451229333878,0.15845193944483763,0.1729062465938943
vit,vit_supervised,block_09,all,iou_otsu,500,0.09911018347297795,0.06631050219830327,0.0877310000360012,0.09368741042387554,0.10532669039436733
vit,vit_supervised,block_09,all,z_spearman,500,0.2863563401480205,1.4666966441839275,0.2567340284585953,0.15565976338967447,0.4099106218154307
vit,vit_supervised,block_09,all,z_iou_top20,500,1.0924621464726516,1.6704336810051297,0.8437570929527283,0.9575965189512586,1.2336192966791102
vit,vit_supervised,block_09,all,n_sas,500,0.6894092426374555,1.406696179573287,0.5701181292533875,0.5626265162179247,0.815103781057708
vit,vit_supervised,block_09,correct_only,pearson,450,0.3065413992893365,0.1640027879038121,0.32012003660202026,0.29081559988359607,0.32099941903507956
vit,vit_supervised,block_09,correct_only,spearman,450,0.01877233618663417,0.21957634944756022,0.014734339900314808,-0.0007651475392695927,0.04028134316733728
vit,vit_supervised,block_09,correct_only,iou_top20,450,0.16660167764458392,0.0834220691022735,0.15283451229333878,0.1589203050229181,0.17416011202381923
vit,vit_supervised,block_09,correct_only,iou_otsu,450,0.09941163450401898,0.0679578912744294,0.08834518864750862,0.09369936173430565,0.10598366236496562
vit,vit_supervised,block_09,correct_only,z_spearman,450,0.2962769650057372,1.477890288750767,0.2690986543893814,0.16593216123638882,0.42701634482414613
vit,vit_supervised,block_09,correct_only,z_iou_top20,450,1.1224383320540396,1.6886674572177083,0.8437570929527283,0.9692083900513826,1.2864956897133313
vit,vit_supervised,block_09,correct_only,n_sas,450,0.7093576477219661,1.4232840500272137,0.5765238702297211,0.5818001133058633,0.8466706679312305
vit,vit_supervised,block_11,all,pearson,500,0.2793099180161953,0.16420543078203562,0.28196391463279724,0.26366913878321646,0.2943257809034549
vit,vit_supervised,block_11,all,spearman,500,0.09605817662551999,0.22684511124218998,0.098521638661623,0.07654159838724882,0.11343784203818068
vit,vit_supervised,block_11,all,iou_top20,500,0.17279971523216228,0.0869697956737173,0.1609358713030815,0.16492236863129073,0.1814217089270707
vit,vit_supervised,block_11,all,iou_otsu,500,0.09322285373328486,0.06921805562021907,0.08064044639468193,0.08711502083712257,0.0995525454607021
vit,vit_supervised,block_11,all,z_spearman,500,0.6602900055601494,1.5653687881714935,0.6772893667221069,0.5315544484379731,0.7985688596747176
vit,vit_supervised,block_11,all,z_iou_top20,500,1.121430316134356,1.6971837268158545,0.8899117410182953,0.9800600584922359,1.2709064335678004
vit,vit_supervised,block_11,all,n_sas,500,0.8908601605147123,1.4581334093631335,0.9028574228286743,0.7660833498183638,1.009526934372075
vit,vit_supervised,block_11,correct_only,pearson,450,0.2833861062261793,0.16176261357989302,0.2861914336681366,0.2690487894957057,0.2996843365535347
vit,vit_supervised,block_11,correct_only,spearman,450,0.09780404912100898,0.22956011145610497,0.10163063928484917,0.07689250099917667,0.11965177474947025
vit,vit_supervised,block_11,correct_only,iou_top20,450,0.17427806504491147,0.08961990125462817,0.1609358713030815,0.16593093197057573,0.18272096703581497
vit,vit_supervised,block_11,correct_only,iou_otsu,450,0.09319711773559296,0.07094751488868892,0.08015446364879608,0.08708870117010761,0.10007359809961215
vit,vit_supervised,block_11,correct_only,z_spearman,450,0.6723375851294905,1.5841039384613353,0.6987433731555939,0.5303760153347621,0.8132171083615166
vit,vit_supervised,block_11,correct_only,z_iou_top20,450,1.1502797720570945,1.7488995665735776,0.8899117410182953,0.9915101775733185,1.3099058521111342
vit,vit_supervised,block_11,correct_only,n_sas,450,0.9113086792661084,1.489738913685097,0.9054046869277954,0.7735732929791428,1.0418599336581924
vit,vit_lejepa,block_03,all,pearson,500,0.08799600464291871,0.3026336993798449,0.05860939621925354,0.06255645785089582,0.11416881043505854
vit,vit_lejepa,block_03,all,spearman,500,0.0388264426253736,0.25949662289868075,0.03561658225953579,0.017099102398287505,0.0607403271920979
vit,vit_lejepa,block_03,all,iou_top20,500,0.21540374280465766,0.1803079158129653,0.16518238186836243,0.19958163238443669,0.23189664562803225
vit,vit_lejepa,block_03,all,iou_otsu,500,0.22804690417039092,0.1876065437293023,0.2233714684844017,0.2134219327150102,0.24579561864293573
vit,vit_lejepa,block_03,all,z_spearman,500,0.3711725866438355,1.3954754755193148,0.3539111763238907,0.24909829824718183,0.5011563340571942
vit,vit_lejepa,block_03,all,z_iou_top20,500,1.4244215846974402,2.5908852644447085,0.7027795016765594,1.1873556996146684,1.6513007389354053
vit,vit_lejepa,block_03,all,n_sas,500,0.8977970856577158,1.910017746241912,0.5975447297096252,0.7241043375728652,1.0661078072380274
vit,vit_lejepa,block_03,correct_only,pearson,444,0.08375274847462974,0.3056474510972192,0.05215529352426529,0.05639722071785211,0.11277329819701687
vit,vit_lejepa,block_03,correct_only,spearman,444,0.032995618288279384,0.26172601858127975,0.025060445070266724,0.009466384804224478,0.057960908469714655
vit,vit_lejepa,block_03,correct_only,iou_top20,444,0.2148790050561221,0.18041580694005654,0.16518238186836243,0.19865088440190218,0.2316682510718631
vit,vit_lejepa,block_03,correct_only,iou_otsu,444,0.22633494049263359,0.18802306087460427,0.22060567140579224,0.20962421858978297,0.24228727823715704
vit,vit_lejepa,block_03,correct_only,z_spearman,444,0.33981660048048395,1.407464330314856,0.29714421927928925,0.20545665024894974,0.4588415497733958
vit,vit_lejepa,block_03,correct_only,z_iou_top20,444,1.4168815093454779,2.5924355719025756,0.7027795016765594,1.1954909801884315,1.6622525989172376
vit,vit_lejepa,block_03,correct_only,n_sas,444,0.8783490546551105,1.9171843829862656,0.5975447297096252,0.7048722246647099,1.0491565752176668
vit,vit_lejepa,block_06,all,pearson,500,0.03580100690573454,0.3150164452802551,-0.0031534042209386826,0.008004837357066572,0.06246304120598361
vit,vit_lejepa,block_06,all,spearman,500,-0.012235397420823574,0.2804105820119992,-0.03924068808555603,-0.036407338364049795,0.011447908581793304
vit,vit_lejepa,block_06,all,iou_top20,500,0.19605261535767932,0.18305144188554942,0.14223931729793549,0.18002567661013455,0.21276683945260885
vit,vit_lejepa,block_06,all,iou_otsu,500,0.23617983607476345,0.18281507055361626,0.23627855628728867,0.22130503178047,0.2521808153250917
vit,vit_lejepa,block_06,all,z_spearman,500,0.24547601353470236,1.3510225826929845,0.11536410078406334,0.13533988951693754,0.36551566792721857
vit,vit_lejepa,block_06,all,z_iou_top20,500,1.1431112743318081,2.43548687509129,0.42712903022766113,0.9360376194352285,1.3669272914946078
vit,vit_lejepa,block_06,all,n_sas,500,0.6942936431542039,1.8127916549835026,0.2673868238925934,0.5416169824056327,0.8672628593370318
vit,vit_lejepa,block_06,correct_only,pearson,444,0.03156754678232713,0.31935952709545945,-0.009626723825931549,0.004285481710591026,0.06093014172228002
vit,vit_lejepa,block_06,correct_only,spearman,444,-0.017937403616940115,0.28451524495485947,-0.045658379793167114,-0.04552146965167947,0.008043143943346494
vit,vit_lejepa,block_06,correct_only,iou_top20,444,0.19529096872626012,0.18325534437309934,0.14223931729793549,0.17846342983735536,0.2115535058541633
vit,vit_lejepa,block_06,correct_only,iou_otsu,444,0.23491547699630427,0.18246687386103289,0.2349451407790184,0.21778673254450148,0.25402623869426455
vit,vit_lejepa,block_06,correct_only,z_spearman,444,0.21800365721332832,1.3707989120588724,0.08444356173276901,0.09264471759177485,0.35013522775531725
vit,vit_lejepa,block_06,correct_only,z_iou_top20,444,1.1329776166837562,2.438199780604348,0.42712903022766113,0.9153066544324739,1.3696699307147027
vit,vit_lejepa,block_06,correct_only,n_sas,444,0.6754906349941283,1.8235678245539082,0.2485191598534584,0.5013191890198032,0.8412082762520358
vit,vit_lejepa,block_09,all,pearson,500,0.08498033153638243,0.31910632803891176,0.0801909789443016,0.05865947615858167,0.11174124332228674
vit,vit_lejepa,block_09,all,spearman,500,0.05276311398483813,0.28556204307842403,0.0719786137342453,0.027619563604705036,0.07734477522349917
vit,vit_lejepa,block_09,all,iou_top20,500,0.21679924408753867,0.18797399532065454,0.16735045611858368,0.20151858802422068,0.23402969586992695
vit,vit_lejepa,block_09,all,iou_otsu,500,0.24911178578762339,0.18312753338738733,0.2562030255794525,0.23309860907508992,0.26487813318080733
vit,vit_lejepa,block_09,all,z_spearman,500,0.08232421811670065,1.434452374969198,0.17884865403175354,-0.035903477666107936,0.20723445296110585
vit,vit_lejepa,block_09,all,z_iou_top20,500,0.7826291308123619,2.072848615612299,0.2373417243361473,0.6143105266307015,0.976417720250797
vit,vit_lejepa,block_09,all,n_sas,500,0.4324766750112176,1.661021202429379,0.20507024973630905,0.2971250644130632,0.5783663408963009
vit,vit_lejepa,block_09,correct_only,pearson,444,0.08743117350732556,0.31778129201091454,0.0792585164308548,0.05931264066718401,0.11883450214465795
vit,vit_lejepa,block_09,correct_only,spearman,444,0.05447947765020905,0.2843864081787449,0.07490547373890877,0.02670656582906943,0.08062854940679998
vit,vit_lejepa,block_09,correct_only,iou_top20,444,0.21807072159919683,0.18806780199281778,0.16898204386234283,0.20097506758244343,0.2370740532627187
