architecture,model_name,layer_or_block,metric,real_mean,real_std,shuffled_mean,shuffled_std,shuffled_median,real_minus_shuffled,shuffled_count,p_value_real_vs_shuffled
vit,vit_supervised,block_03,pearson,0.2746535837650299,0.2802554965019226,0.0035092488396912813,0.16568347811698914,-0.0005562789738178253,0.2711443349253386,2500,0.0
vit,vit_supervised,block_03,spearman,0.18140195310115814,0.25131502747535706,-0.0007804179331287742,0.16290585696697235,-0.0029360540211200714,0.18218237103428692,2500,0.0
vit,vit_supervised,block_03,iou_top20,0.25287583470344543,0.1504109799861908,0.11787314713001251,0.06427571177482605,0.10748180747032166,0.13500268757343292,2500,0.0
vit,vit_supervised,block_03,iou_otsu,0.29350051283836365,0.14153115451335907,0.17099159955978394,0.08904207497835159,0.168046236038208,0.12250891327857971,2500,0.0
vit,vit_supervised,block_06,pearson,-0.030139587819576263,0.13157063722610474,-0.011413369327783585,0.10985840111970901,-0.022979065775871277,-0.01872621849179268,2500,1.5160163457039744e-05
vit,vit_supervised,block_06,spearman,-0.23253478109836578,0.2491806000471115,-0.04607385769486427,0.17529281973838806,-0.04904371500015259,-0.1864609234035015,2500,0.0
vit,vit_supervised,block_06,iou_top20,0.09131115674972534,0.08886387944221497,0.09971299767494202,0.05365879461169243,0.09140340238809586,-0.008401840925216675,2500,8.624523317735111e-11
vit,vit_supervised,block_06,iou_otsu,0.031833432614803314,0.06768748164176941,0.033855896443128586,0.04826030135154724,0.022770453244447708,-0.0020224638283252716,2500,2.2704696789332957e-08
vit,vit_supervised,block_09,pearson,0.30258122086524963,0.16874535381793976,0.003737308783456683,0.11067678779363632,-0.006610048934817314,0.29884391208179295,2500,0.0
vit,vit_supervised,block_09,spearman,0.017298387363553047,0.21791325509548187,-0.025246774777770042,0.14857418835163116,-0.029884912073612213,0.04254516214132309,2500,5.299145414028317e-05
vit,vit_supervised,block_09,iou_top20,0.16512082517147064,0.08252129703760147,0.11115196347236633,0.04940112307667732,0.10623054206371307,0.05396886169910431,2500,0.0
vit,vit_supervised,block_09,iou_otsu,0.0991101861000061,0.06631050258874893,0.03697945177555084,0.044600099325180054,0.026424238458275795,0.06213073432445526,2500,0.0
vit,vit_supervised,block_11,pearson,0.2793099284172058,0.1642054319381714,0.008070510812103748,0.11588398367166519,-0.004518345929682255,0.27123941760510206,2500,0.0
vit,vit_supervised,block_11,spearman,0.0960581824183464,0.22684511542320251,0.0003723786794580519,0.14491480588912964,0.0018186066299676895,0.09568580373888835,2500,2.554784732809595e-22
vit,vit_supervised,block_11,iou_top20,0.1727997064590454,0.08696979284286499,0.11533359438180923,0.05124359577894211,0.10858279466629028,0.057466112077236176,2500,0.0
vit,vit_supervised,block_11,iou_otsu,0.09322285652160645,0.06921805441379547,0.038824714720249176,0.05046089366078377,0.02720283344388008,0.05439814180135727,2500,0.0
vit,vit_lejepa,block_03,pearson,0.0879959985613823,0.302633672952652,-0.019121801480650902,0.1785699427127838,-0.021537568420171738,0.1071178000420332,2500,3.478707664809899e-13
vit,vit_lejepa,block_03,spearman,0.03882644325494766,0.25949662923812866,-0.030195217579603195,0.1859557032585144,-0.027124736458063126,0.06902166083455086,2500,7.448635486184685e-09
vit,vit_lejepa,block_03,iou_top20,0.2154037356376648,0.18030790984630585,0.11627373099327087,0.0695931687951088,0.10476924479007721,0.09913000464439392,2500,4.317426916045116e-33
vit,vit_lejepa,block_03,iou_otsu,0.22804690897464752,0.187606543302536,0.17035482823848724,0.1236540824174881,0.1811637282371521,0.05769208073616028,2500,9.047054660982212e-09
vit,vit_lejepa,block_06,pearson,0.035801004618406296,0.3150164484977722,-0.046960584819316864,0.19922640919685364,-0.04660291224718094,0.08276158943772316,2500,1.0115304576174822e-05
vit,vit_lejepa,block_06,spearman,-0.012235399335622787,0.2804105877876282,-0.06318500638008118,0.20755432546138763,-0.06288634240627289,0.05094960704445839,2500,0.0008871575118973851
vit,vit_lejepa,block_06,iou_top20,0.19605261087417603,0.1830514520406723,0.1101362556219101,0.07516010105609894,0.09551358968019485,0.08591635525226593,2500,9.339586436411131e-20
vit,vit_lejepa,block_06,iou_otsu,0.23617982864379883,0.1828150600194931,0.18240024149417877,0.12310297042131424,0.1964588612318039,0.053779587149620056,2500,2.502785889646475e-08
vit,vit_lejepa,block_09,pearson,0.08498033136129379,0.3191063404083252,0.0423017218708992,0.19662342965602875,0.048426542431116104,0.04267860949039459,2500,0.01985803060233593
vit,vit_lejepa,block_09,spearman,0.052763115614652634,0.28556203842163086,0.03637451305985451,0.1990739107131958,0.05415661633014679,0.016388602554798126,2500,0.046156059950590134
vit,vit_lejepa,block_09,iou_top20,0.21679925918579102,0.1879739910364151,0.14582738280296326,0.09068389981985092,0.13065767288208008,0.07097187638282776,2500,1.2846428809609733e-08
vit,vit_lejepa,block_09,iou_otsu,0.24911178648471832,0.1831275373697281,0.20928344130516052,0.1340748518705368,0.22866950929164886,0.0398283451795578,2500,7.907803956186399e-05
vit,vit_lejepa,block_11,pearson,0.14205077290534973,0.3170416057109833,0.08230137079954147,0.19179606437683105,0.08174493908882141,0.05974940210580826,2500,6.817056419095024e-05
vit,vit_lejepa,block_11,spearman,0.08323293924331665,0.2752509117126465,0.06992214173078537,0.18717852234840393,0.07885034382343292,0.01331079751253128,2500,0.05516784265637398
vit,vit_lejepa,block_11,iou_top20,0.24372181296348572,0.1869325041770935,0.16132639348506927,0.0924551710486412,0.14828374981880188,0.08239541947841644,2500,4.17685058361119e-14
vit,vit_lejepa,block_11,iou_otsu,0.2546165883541107,0.17876793444156647,0.19454897940158844,0.12847985327243805,0.20578940212726593,0.06006760895252228,2500,9.802833891847662e-12
cnn,cnn_supervised,layer2,pearson,0.036365289241075516,0.23538681864738464,0.003245559288188815,0.09368330985307693,0.001697435975074768,0.0331197299528867,2500,0.004214594606310129
cnn,cnn_supervised,layer2,spearman,0.010162542574107647,0.20827370882034302,0.004104869905859232,0.09599011391401291,0.003818223252892494,0.006057672668248415,2500,0.22749756276607513
cnn,cnn_supervised,layer2,iou_top20,0.1396120935678482,0.09512992203235626,0.11419649422168732,0.03663955628871918,0.11112956702709198,0.02541559934616089,2500,0.0026514807250350714
cnn,cnn_supervised,layer2,iou_otsu,0.1806003600358963,0.1131124496459961,0.16678865253925323,0.08743935078382492,0.16659419238567352,0.013811707496643066,2500,0.0779808834195137
cnn,cnn_supervised,layer3,pearson,0.06463940441608429,0.20890173316001892,0.026453934609889984,0.1505490094423294,0.016432981938123703,0.038185469806194305,2500,0.0007379407761618495
cnn,cnn_supervised,layer3,spearman,0.03036203794181347,0.17897473275661469,0.018224099650979042,0.14490091800689697,0.022260194644331932,0.012137938290834427,2500,0.06985324621200562
cnn,cnn_supervised,layer3,iou_top20,0.14812608063220978,0.08532825112342834,0.12405389547348022,0.058551061898469925,0.11781249195337296,0.024072185158729553,2500,3.806512438586651e-07
cnn,cnn_supervised,layer3,iou_otsu,0.15551117062568665,0.1030268743634224,0.14071007072925568,0.08503968268632889,0.13444271683692932,0.01480109989643097,2500,0.011750555597245693
cnn,cnn_supervised,layer4,pearson,0.3135661780834198,0.3317941129207611,0.062295787036418915,0.25816625356674194,0.015502904541790485,0.2512703910470009,2500,0.0
cnn,cnn_supervised,layer4,spearman,0.08876687288284302,0.2341996729373932,0.017554907128214836,0.21617135405540466,0.023252617567777634,0.07121196575462818,2500,6.475715103038127e-11
cnn,cnn_supervised,layer4,iou_top20,0.29884931445121765,0.17290306091308594,0.16327838599681854,0.1295429915189743,0.13600090146064758,0.1355709284543991,2500,0.0
cnn,cnn_supervised,layer4,iou_otsu,0.2771148085594177,0.18085843324661255,0.1274530589580536,0.1259775310754776,0.09851522743701935,0.14966174960136414,2500,0.0
cnn,cnn_lejepa,layer2,pearson,0.05951402708888054,0.1971030980348587,-0.0009977672016248107,0.07439882308244705,-0.0027264412492513657,0.06051179429050535,2481,8.041744159470454e-09
cnn,cnn_lejepa,layer2,spearman,0.025321055203676224,0.16938571631908417,0.001658672234043479,0.07757329195737839,0.0003637364134192467,0.023662382969632745,2481,6.937515718163922e-05
cnn,cnn_lejepa,layer2,iou_top20,0.1452491134405136,0.09024833887815475,0.11225026845932007,0.029761500656604767,0.11014628410339355,0.03299884498119354,2500,6.357962073488821e-11
cnn,cnn_lejepa,layer2,iou_otsu,0.17659033834934235,0.0990641862154007,0.15320652723312378,0.07368530333042145,0.15580911934375763,0.023383811116218567,2481,2.4166381990653463e-05
cnn,cnn_lejepa,layer3,pearson,0.06902548670768738,0.22894160449504852,-0.007610910572111607,0.13744543492794037,-0.015932608395814896,0.07663639727979898,2479,9.979820525529703e-09
cnn,cnn_lejepa,layer3,spearman,0.02178140915930271,0.17682695388793945,-0.00892843771725893,0.14075660705566406,-0.003812657669186592,0.03070984687656164,2479,0.0010745353065431118
cnn,cnn_lejepa,layer3,iou_top20,0.15078598260879517,0.10610119998455048,0.1134038120508194,0.06034812703728676,0.10635249316692352,0.03738217055797577,2500,5.2108219961155555e-09
cnn,cnn_lejepa,layer3,iou_otsu,0.15084601938724518,0.12225975096225739,0.11824733018875122,0.08756055682897568,0.10497777163982391,0.03259868919849396,2479,1.1261011422902811e-05
cnn,cnn_lejepa,layer4,pearson,0.1505165696144104,0.2551072835922241,0.05661558732390404,0.21853335201740265,0.04246874153614044,0.09390098229050636,2500,2.9227672799364557e-13
cnn,cnn_lejepa,layer4,spearman,0.12109893560409546,0.2457589954137802,0.04706529900431633,0.23030246794223785,0.049894072115421295,0.07403363659977913,2500,1.3127879894270222e-09
cnn,cnn_lejepa,layer4,iou_top20,0.1868453323841095,0.12707272171974182,0.1390920728445053,0.10023939609527588,0.12055826932191849,0.04775325953960419,2500,3.117296392264428e-15
cnn,cnn_lejepa,layer4,iou_otsu,0.17736715078353882,0.13229401409626007,0.1377960741519928,0.10870680212974548,0.12211725115776062,0.03957107663154602,2500,5.189551011142157e-09
